Feeder Type,Slot,Feeder Notes,Part Number,Description,OpenPnP Part Name,References,Qty/Board,Qty (10 boards),Source,Side
8mm Motorized,,Opulo feeder,USBLC6-2SC6,ESD Protection ST SOT-23-6,,"U0,U5,U7,U8,U21",5,50,LCSC,bottom
16mm Strip,,Strip feeder,RP2040,Dual-Core ARM Cortex-M0+ MCU Raspberry Pi QFN-56,,U1,1,10,Mouser,bottom
24mm+ Strip,,Strip feeder,USB7206C/KDX,USB 3.2 Hub Controller Microchip QFN-100,,U2,1,10,Mouser,bottom
12mm Motorized,,Opulo feeder,"CBTL02043ABQ,115",USB3.0 Mux NXP QFN-20,,"U3,U6,U15",3,30,LCSC,bottom
8mm Motorized,,Opulo feeder,TLV62585DRLR,3A Buck Converter TI SOT-563,,"U4,U17",2,20,LCSC,bottom
12mm Motorized,,Opulo feeder,PTN5110NHQZ,USB-C PD Controller NXP QFN-16,,"U11,U12,U13",3,30,Mouser,bottom
12mm Motorized,,Opulo feeder,W25Q16JVSSIQ,16Mbit SPI Flash Winbond SOIC-8,,U24,1,10,LCSC,bottom
Manual,,Tray/hand placement,PCW0J151MCO1GS,150uF 6.3V Polymer Cap Nichicon 5mm,,C44-C47,4,40,Mouser,bottom
Manual,,Tray/hand placement,AFC07-S20FCC-00,FFC Connector 20-pin JUSHUO,,J7,1,10,LCSC,bottom
Manual,,Tray/hand placement,GT-TC025D-H0065-L1,Tactile Switch G-Switch,,SW1,1,10,LCSC,bottom
Manual,,Tray/hand placement,12401598E4#2A,USB-C Receptacle Amphenol,,"J0,J4,J5",3,30,LCSC,bottom
Manual,,Tray/hand placement,1003-002-01100,USB-A 3.0 Receptacle CNC Tech,,"J2,J3",2,20,LCSC,bottom
